1-stearoyl-rac-glycerol,16.805825242718445
"2,2'-Bipyridine",14.58252427184466
"2,3-Dihydroxy-2(3H)-furanone",15.912621359223301
"2,3-Dihydroxybutane",2.378640776699029
"2,3-Dihydroxybutanoic acid",808.5533980582525
"2,3-Dihydroxyl-propanoic acid",82.7864077669903
2-Aminobutyric acid,2591.3106796116504
2-Carbonyl-3-methylButanoic acid,1204.8640776699028
2-Carbonyl-3-methylPentanoic acid,1822.8543689320388
2-Hydroxy-3-methylbutyric acid,15.436893203883495
2-Hydroxybutyric acid,17.009708737864077
2-Piperidine carboxylic acid,67.66990291262135
3-Aamino-2-piperidone,33.699029126213595
3-Hydroxybutyric acid,16.864077669902912
3-Indolepropionic acid,12.184466019417476
4-ketoglucose,186.93203883495147
Alanine,196450054.58252427
Aminomalonic acid,16.300970873786408
Arabinose,30.310679611650485
Arachidonic acid,2196.9417475728155
Asparagine,2323.3203883495144
Aspartic acid,29.359223300970875
Citric acid,912.5728155339806
Citrulline,16.04854368932039
Creatinine,3425.1553398058254
Cysteine,2308.368932038835
Cystine,155.46601941747574
Galactose,1419.1456310679612
Gluconic acid,13.951456310679612
Glucose,17.07766990291262
Glyceraldehyde,21.70873786407767
Docosahexaenoic acid,1639.883495145631
Eicosanoic acid,0.0
Ethanolamine,2076.242718446602
Fumaric acid,1506.2427184466019
Glucosamine,6.621359223300971
Glutamic acid,28.611650485436893
glycerol,8713.184466019418
Glycerol phosphate,1351.6601941747572
Glycine,238.36893203883494
Heptadecanoic acid,13180953.291262137
Hexadecanoic acid,17.271844660194176
Hypoxanthine,14.592233009708737
Inosine,13.679611650485437
Inositol-3-phosphate,1167.0485436893205
Isoleucine,2351.029126213592
kynurenine,296.13592233009706
Rhamnose,1107.7572815533981
Lactic acid,46073.2427184466
Leucine,8737.679611650485
Linoleic acid,17.74757281553398
Lysine,7625.640776699029
Malic acid,95.48543689320388
Methionine,128.59223300970874
Myo-Inositol,7.669902912621359
Nervonic acid,689.6601941747573
Nonanoic acid,2.70873786407767
Oleamide,6.252427184466019
Oleic acid,7933.514563106796
Ornithine,14.825242718446601
Oxalic acid,938.6796116504854
Phenylalanine,5054.873786407767
Phosphoric acid,16887.242718446603
Proline,15.572815533980583
Pyroglutamic acid,6808.980582524272
Pyruvic acid,28.058252427184467
Ribose,0.0
Serine,7901.378640776699
Stearic acid,13.03883495145631
Sucrose,4.631067961165049
Threonic acid,15.844660194174757
Threonine,120.36893203883496
Tryptophan,17863140.941747572
Tyrosine,3845.1553398058254
Uracil,7.601941747572815
Urea,2606.3883495145633
Uridine,15.62135922330097
Xylitol,0.0
α－Ketoglutaric acid,5.300970873786408
α-Tocopherol,14.640776699029127
β-Alanine,358.0388349514563
